Name of the Project,Link to the project,Project Details,Start Date
Fleming Fund – Country and Regional Grants and Fellowships Programme,https://devtracker.fcdo.gov.uk/projects/GB-GOV-10-FF_MA/summary,"The Fleming Fund helps low- and middle-income countries to fight antimicrobial resistance. A management agent has been appointed to deliver: country grants 24 low- and middle-income countries, regional grants in West Africa, East and Southern Africa, South Asia and South East Asia, and a global fellowships programme. These initiatives aim to improve laboratory capacity and diagnosis as well as data and surveillance of antimicrobial resistance (AMR).",2016-10-10
"British Academy Coherence & Impact - Challenge-led grants: Heritage, Dignity & Violence",https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-GCRF-CImChlGHDV/summary,"Tackling the challenge of achieving sustainable peace and preventing violence requires a consideration of local cultures, practices, histories and societal norms, and an understanding of how such norms are complex and contextually differentiated and intersectionally experienced. It is often the case that these considerations are not well or fully brought into policy and practice that tend to ignore aesthetic, representational, and reflective practices. New approaches that cross sectoral and disciplinary boundaries are vital in achieving a step change in this area.

The projects funded under this programme demonstrate an innovative and interdisciplinary approach yielding new conceptual understandings, developing ground-breaking research and energising innovative collaborations in the humanities and social sciences.",2020-10-1
British Academy Core - Challenge-led grants: Sustainable Development,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-BA-GCRF-04/summary,"This programme funds excellent, policy-oriented UK research, aimed at addressing the UN’s 2030 Agenda for Sustainable Development and advancing the UK’s Aid Strategy. It supports researchers in the humanities and the social sciences working to generate evidence on the challenges and opportunities faced in developing countries and respond to the Sustainable Development Goals. The Academy is particularly keen to encourage applications from the humanities in this round.",2016-12-31
SFC - GCRF QR funding,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-GCRF-BF-7TNK9LD-GBYPTX3/summary,"Formula GCRF funding to the Scottish Funding Council to support Scottish higher education institutes (HEIs) to carry out ODA-eligible activities in line with their three-year institutional strategies. ODA research grants do not represent the full economic cost of research and therefore additional funding is provided to Scottish HEIs in proportion to their Research Excellence Grant (REG). In FY19/20 funding was allocated to 18 Scottish higher education institutes to support existing ODA grant funding and small projects. GCRF has now supported more than 800 projects at Scottish institutions, involving over 80 developing country partners.",2018-1-1
Global Challenges Research Fund Evaluation,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-GCRF-BF-7TNK9LD-NLFLATK/summary,"The overall purpose of the GCRF evaluation is to assess the extent to which GCRF has
achieved its objectives and contributed to its intended impacts.",2018-1-1
Transformation Project - ODA Reporting Tool (ODART),https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-GCRF-BF-7TNK9LD-CJV6BWG/summary,"The Reporting ODA Digital Service (RODA) is the data submission, processing, reporting repository system for data on BEIS R&I ODA Eligible Programmes delivered by Delivery Partners",2018-1-1
UUKi Delivery Support,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-GCRF-BF-7TNK9LD-YNLLBYF/summary,"These are delivery cost for shared learning workshops/training and best practice (for current and future applicants) on ODA assurance, eligibility, reporting and partnership working through either the NF and GCRF",2018-1-1
ODA website - cross-cutting for both ODA funds,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-GCRF-BF-7TNK9LD-GL66264/summary,This is the website for NF and GCRF consortia that promotes funding calls and impact case studies as well as publishing report such as the annual report and monitoring and evaluation documentation.,2018-1-1
Ad-hoc GCRF activity on BEIS Finance system,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-GCRF-BF-7TNK9LD-MGTU53A/summary,"Increased contributions towards a range of research projects jointly funded with DFID, and funding for the Devolved Administrations for disbursement to universities within the devolved regions to fund the full economic cost of GCRF ODA research.",2018-1-1
DfE NI - GCRF QR funding,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-GCRF-BF-7TNK9LD-UBSPZA4/summary,"Grant to Department for the Economy, Northern Ireland to enable Northern Irish higher education institutes to carry out pre-agreed ODA-eligible activities in line with their institutional strategies. For Queen’s University Belfast in FY2019/20 this included: workshops in Cambodia, Vietnam, South Africa, and Uganda about health and education; 11 pilot projects spanning 16 eligible countries (Angola, Burundi, China, Colombia, Ghana, India, Kenya, Kosovo, Malaysia, Nigeria, South Africa, Sri Lanka, Tanzania, Uganda, Vietnam and Zimbabwe); and additional support to GCRF and NF-funded activities. For Ulster University in FY2019/20 funding supported six pump-priming projects on: LMIC maternal, neonatal and child health; PTSD in Rwanda; Decision-Making in Policy Making in Africa and Central Asia; and hearing impairment and dementia in China.",2018-1-1
HEFCW - GCRF QR funding,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-GCRF-BF-7TNK9LD-JQSCSMF/summary,"Additional GCRF funding to the Higher Education Funding Council for Wales to support Welsh higher education institutes (HEIs) to carry out ODA-eligible activities in line with their institutional strategies. ODA research grants do not represent the full economic cost of research and therefore additional funding is provided to Welsh HEIs in line with their research council grant income. In FY19/20 funding was allocated to Aberystwyth University, Bangor University, Cardiff University and Swansea University. In FY19/20, the funding was used to fund: the full economic cost of existing ODA eligible activities (e.g. already funded by GCRF); small ODA-eligible projects; fellowships to ODA-eligible researchers; and to increase collaboration and impact. 53 ODA-eligible countries have been reported as benefiting from the funded work, with Brazil and India the most frequently mentioned. By region, the largest number of projects were based in the LDC’s (Least Developed Countries) in Asia, South America, and East Africa, with only a few projects in the middle-income countries such as Kazakhstan, Kyrgyzstan and Georgia.",2018-1-1
ODA BEIS analysts - cross-cutting for both ODA funds,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-GCRF-BF-7TNK9LD-6HMS4XB/summary,ODA BEIS analysts. For the monitoring and evaluation and learning for NF and GCRF,2018-1-1
AMS Coherence and Impact - Global Health Policy Workshops,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-GCRF-CImGHPW/summary,"Researchers play an important role in driving sustainable impacts on health and welfare by participating in policy development. In many LMICs, poverty correlates with poor health; we are working with partners in LMICs to convene researchers and stakeholders to generate independent, expert health policy advice, based on evidence from research.",2019-1-1
Royal Academy of Engineering  Core - Engineering for Development Research Fellowships,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-RAENG-GCRF-06/summary,The Royal Academy of Engineering offers Research Fellowships each year to outstanding early-career researchers to support them to become future research leaders in engineering.,2016-8-1
Royal Academy of Engineering  Academies Collective Fund: Resilient Futures - Frontiers of Development,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-RAENG-GCRF-08/summary,Frontiers of Development is part of the Joint Resilient Futures Initiative which is a collaboration between all four UK Academies under the GCRF. The aim of the JRF initiative is to construct a pipeline in the UK and the developing world for interdisciplinary researchers focused on tackling development challenges in a sustainable manner.,2017-10-24
Royal Academy of Engineering  Core - Frontiers of Engineering for Development,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-RAENG-GCRF-07/summary,Frontiers of Engineering for Development is a series of interdisciplinary symposia that facilitates national and international collaboration to tackle global development challenges. The event brings together a select group of around 60 emerging UK and global engineering and international development leaders from industry and academia to discuss pioneering technical work and cutting-edge research for international development from a diversity of engineering fields. Seed funding is available to progress some of the best ideas coming out of the event. COVID-19,2016-12-1
GCRF South Asian Nitrogen Hub,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-FUND--GCRF-NE_S009019_2/summary,"GCRF Hub – developing a more coherent picture of the nitrogen cycle, in order to explore how to improve nitrogen management in agriculture and the wider circular economy and reduce the need for synthetic fertilizers by making better use of manure. This activity benefits: India, Sri Lanka, Pakistan, Maldives, Bhutan, Afghanistan, Nepal, and Bangladesh. SDGs: 1, 2, 9, 11, 12, 13, 14, 15, 17",2019-12-1
Engaging communities to address antimicrobial resistance: Identifying contextualised and sustainable community-led solutions in low resource settings,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-FUND--GCRF-MR_T029676_1/summary,"This study will make a significant contribution to addressing antimicrobial resistance (AMR). AMR is a major challenge to global health, food sustainability and security, and socio-economic development. If we do not address AMR, in the future we will be less able to prevent and treat common infectious diseases, and major surgery, cancer chemotherapy and organ transplants will become much more dangerous in the absence of effective antibiotics. The quantity of antimicrobials used in food production internationally is at least the same as that in humans, and in some places is higher. Some last-resort antibiotics for humans are being used extensively in animals, and there are currently no replacements. There is a huge global effort to address AMR. One area that is emphasised in global guidance is the importance of raising public awareness on the issue. However, it is important to go beyond raising awareness and actively engage with individuals and communities, by enabling them to identify, develop and implement community-led sustainable solutions. To the best of our knowledge, community engagement approaches to address AMR have not been evaluated anywhere in the world.  In order to address this gap, we have established a world-leading research group, which builds partnerships between six research organisations and project partners in Bangladesh, Nepal and the United Kingdom.  Members of this team have already developed two approaches to using community engagement to address AMR. The Community Dialogue Approach (CDA) has previously been used in several countries to address other health issues and we adapted it to address the misuse of antibiotics by humans in Bangladesh. Participatory Video (PV) is an approach whereby community members are supported to make short films about issues that concern them and these films are used to demonstrate to policy makers how people interact with the issue. We adapted this approach to explore the misuse of antibiotics in Nepal. In this study, we plan to combine these two approaches: The PV will help us to identify critical themes to address through the CDA, and it will help to raise the profile of community engagement on national and international policy agendas.    At the start of this study, we will use PV (and other methods) to help us develop materials that are needed to deliver the CDA in Bangladesh and in Nepal. We will ensure that these materials address different issues that impact on AMR in rural communities - these include the ways that humans use antimicrobials, the way they are used for animals, and the way they enter into soil and water. We will implement the CDA across the district of Comilla in Bangladesh to see whether it changes people's knowledge, attitudes and reported behaviour in relation to AMR. We also want to find out how much it would cost to implement it on a national scale and to see whether it is equitable i.e. that it reaches and is used by different population groups, such as males and females, and the poorest in society. We will also introduce our approach into a hill region in Nepal so that we can find out how easy or difficult it is to deliver it in different types of settings. Finally, we will use the outputs from the PV methods - especially films that have been made by community members - to help us to increase awareness of the importance of community engagement in Nepal, Bangladesh, the UK and beyond.  This study will make a major contribution to our understanding of how to address AMR by working with individuals and communities to enable them to identify, develop and implement solutions. It will also help us to understand how our approach to community engagement can be implemented on a large scale and in different settings. Ultimately, we aim to ensure that this study influences policy makers internationally to include community engagement approaches as one of the key strategies for addressing AMR.",2021-1-1
Preparedness and planning for the mountain hazard and risk chain in Nepal,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-FUND--GCRF-NE_T009578_1/summary,Project which aims to improve decision-making and preparedness in order to mitigate the impacts and reduce the risks from the mountain hazard chain in Nepal.,2020-5-14
Preparedness and planning for the mountain hazard and risk chain in Nepal,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-FUND--GCRF-NE_T009713_1/summary,Project which aims to improve decision-making and preparedness in order to mitigate the impacts and reduce the risks from the mountain hazard chain in Nepal.,2021-1-1
"Harnessing the power of global data to support young children's learning and development: Analyses, dissemination and implementation",https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-FUND--GCRF-ES_T003936_1/summary,"The 2017 Lancet Series, Advancing Early Childhood Development: From Science to Scale, estimated that 43% of children under 5 years in LMICs (250m children), were at risk of not reaching their potential because they had stunted linear growth or lived in extreme poverty. The proportion of children at risk increases appreciably when additional risk factors are considered, especially low maternal schooling and child maltreatment. Living in poor and unstimulating conditions affects young children's learning and development. Children exposed to poverty and adversity explore and learn less than children not exposed to these stresses; they learn less at school and achieve fewer school grades; earn less as adults; have more social problems, and poorer physical and mental health. We will study barriers and accelerators to learning in LMIC ECE programmes, at home and in communities, as well as associations between early learning and indicators of child development and  school performance. We will estimate their longer-term effects on education and earnings in adulthood. We will use descriptive and statistical analyses of secondary data collected through representative country surveys and research studies. As an established group of multi-disciplinary and multi-country experts and collaborators, we build on prior success in sourcing and analysing data from 91 LMICs by including early education and expanding to 137 countries. Global data, presented along the continuum of the early years, breaks down the false dichotomy between ECD and ECE, between care and education, and between learning at home and in formal programmes, and supports multi-sectoral actions along different stages of the life-course. We will expand our global analyses of threats to ECD by examining gender, location and wealth, services and family supports for young children, and policies that create facilitating environments for families and children. We will, for the first time, link indicators of the structural quality of ECE (eg teacher-child ratios) to contexts and child outcomes in LMICs. Process quality (eg teacher- and caregiver-child interactions), on which there is as yet no global data, will be studied through case studies in 5 countries, one in each of five regions of the world. We will source data on government, development assistance and household expenditures on pre-primary education; extract further country micro-data on contexts in which young children develop and learn; update nationally representative data on young children, services and policies to the most recent survey dates available, and develop new composite indicators of barriers and accelerators of young children's learning and development. Through partnerships with regional networks of ECD-ECE government and stakeholder teams, the project will help to build research capacity in ECD-ECE, and increase the use of data for decision-making, action and monitoring in 20 countries. We will use the results to provide evidence-based support to engage international human rights law, especially the right to education and the rights of the child, in advancing progress towards achieving the SDG goals of universal access by 2030. This research will address the gap in the evidence base for a unified approach to ECD and ECE. The findings will support the development of the right to education by providing a holistic approach to guide early development and educational interventions. It will demonstrate the strength of interdisciplinary work in cross-fertilizing data analysis and legal research in building strong foundations for translation into policy and regulatory change. Given the evidence on the critical roles of ECD-ECE on learning and wellbeing in the short, medium and longer term, the project has important implications for development and welfare in countries on the DAC list. This large-scale global approach is critical to support and guide policy and investments.",2020-1-31
Towards Brown Gold?: Reimagining off-grid sanitation in rapidly urbanising areas in Asia and Africa,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-FUND--GCRF-ES_T008113_1/summary,"Once viewed as the 'the last taboo' in international development, sanitation is now considered pivotal for human wellbeing, productivity and health, and to realising all the UN Sustainable Development Goals (SDGs). Currently, 4.5 billion people lack safely managed sanitation with about 700 million defecating in the open (WHO 2019) exposing them to various health hazards. Work and time burdens as a result of unmet or poor sanitation are disproportionate for these  marginalised groups (especially women)  who are not only users of inappropriate services, they are often the service providers of high-risk, poor quality sanitation facilities and infrastructure. BROWN GOLD focuses on marginality, sanitation and wastewater challenges in five growing towns in Ethiopia, Ghana, India and Nepal. While toilet coverage has increased in all these towns due to massive and capital intensive  sanitation campaigns, they have neglected a portion of the population, in particular, poor residents, migrants, lower castes, landless slum-dwellers and scavengers who are still denied their basic rights to clean water and safely managed sanitation. They live in areas not connected to centralised systems and are unlikely to be in the foreseeable future. This has important social and health consequences for these communities linked to the invisible flows of dangerous pathogens and water quality contamination. We view these challenges as an opportunity to rethink and reimagine these off-grid areas that fall beyond central urban planning as a fertile ground for social and technological innovations that are people centred, sustainable, equitable and in line with the idea of the circular economy. Indeed, faecal sludge is rich in water, nutrients and organic compounds, but the potential of this 'brown gold' remains hidden in the sludge and thus largely untapped. We will explore ways to re-use shit with the view to ensure that these innovations help address the sanitation crisis, enhance local livelihoods and the local and regional economies and the well-being of the excluded and marginalised. The project asks:   1) How do local communities perceive, experience and live with off-grid sanitation challenges and how do these lead to processes of marginalisation?  2) Which kinds of socio- technical and institutional processes/ innovations are required to re-imagine shit as 'brown gold' in ways that are environmentally safe, economically viable and also tackle social exclusions?  3) How can these locally appropriate innovations be facilitated to be socio-culturally acceptable, and socially inclusive? What are the trade-offs?  4) What kinds of policy, business and regulatory frameworks enable/ disable the uptake, scaling up and sustenance of these innovations?    These questions will be addressed by an interdisciplinary team bringing together social science, law, engineering, microbiology as well as creative arts. We will facilitate bottom up socio-technical processes and innovations co-produced between user communities, private entities, state agencies and civil society. We will employ an innovative mixed-methods approach, bringing together ethnographic, participatory, creative, quantitative and scientific data collection methods to examine whether innovations to consider shit as a resource or 'brown gold' can be a lens to reimagine the city. The project will generate evidence, knowledge and learning that will be useful to a range of academic and policy audience.",2020-4-1
Sustaining Power: Women's struggles against contemporary backlash in South Asia,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-FUND--GCRF-ES_S015787_1/summary,"Women in South Asia have struggled for many decades to improve their lives within their families, in their communities, for securing their livelihoods, and in getting their voices heard as citizens by the state, with women's movements being critical in advancing their rights. However, contemporary social, economic and political changes have created new and multiple forms of backlash and contestations. How do women defend their rights, and secure their gains against these regressive forces and backlash? This question leads our research on the strategies and mechanisms that women use to retain power and sustain gains in women's rights. This research is particularly interested in how different groups of women understanding power and struggle, and how these change over time. We aim to assess what works to defend women's rights, and explain why some struggles are more successful than others in sustaining gains. We think that success of women's struggles depends on a) the types of strategies they use to counter different types of backlash; b) the ways in which struggles include voices and perspectives of different groups of women; and c) the ways in which struggles connect to other movements and groups across local, regional and national levels. The central research question therefore is: When, how, and why do women's power struggles succeed in retaining power and sustaining their gains against backlash?   South Asia provides a valuable opportunity to investigate women's struggles. The region has witnessed rapid and large changes over the last decade, including urbanization, rising employment precarity, new electoral laws and regime changes, shifts in social norms, and the spread of digital technology. We aim to examine how these changes create new and multiple forms of backlash; and how women's struggles for power are variously challenged, opened up or are closed down by these changes. We are interested in unraveling the similarities and differences in processes and strategies used by different women's movements to retain power in the face of backlash; and in women's own experiences and interpretations of their struggles as these evolve and adapt over time.   We will select 16 cases of women's struggles in four countries that represent the largest populations of South Asia: Bangladesh, India, Nepal and Pakistan. Within each country, we will select on-going and contentious cases of struggle in one of four arenas within which gains in women's rights are being sought: family, community, market and the state. This research will use a variety of methods including:  a) identifying and analyzing the types of backlash created by processes of contemporary change; b) mapping critical players and what shapes their motivations for action;   c) tracing the struggles, nature and trajectory of each movement to counter backlash - through oral history methods, reflective and participatory techniques, qualitative interviews and archival research;  d) undertaking comparative analysis to compare how different movements may have triggered, galvanized or been strengthened by power struggles across different arenas; and  e) identifying and systematizing which combinations of mechanisms and strategies work to defend women's rights in South Asia and beyond.   This is a collaborative research project that draws together a multi-disciplinary research team with deep in-country and conceptual expertise on women's rights and contemporary power struggles in South Asia. This project includes strong capacity building initiatives and opportunities for learning through reflective processes with women's movements and research partners. This research is ambitious in its scope and we hope that our findings that will be grounded in real life experiences of women, will be relevant and useful for feminist scholars, activists and policy actors to set their future course of action to defend women's rights across the world.",2020-1-1
GCRF Urban Disaster Risk Hub,https://devtracker.fcdo.gov.uk/projects/GB-GOV-13-FUND--GCRF-NE_S009000_1/summary,"The Hub will reduce disaster risk for the poor in tomorrow's cities. The failure to integrate disaster risk resilience into urban planning and decision-making is a persistent intractable challenge that condemns hundreds of millions of the World's poor to continued cyclical destruction of their lives and livelihoods. It presents a major barrier to the delivery of the Sustainable Development Goals in expanding urban systems. Science and technology can help, but only against complex multi-hazard context of urban life and the social and cultural background to decision-making in developing countries. Science-informed urbanisation, co-produced and properly integrated with decision support for city authorities, offers the possibility of risk-sensitive development for millions of the global poor. This is a major opportunity - some 60% of the area expected to be urban by 2030 is yet to be built. Our aim is to catalyse a transition from crisis management to risk-informed planning in four partner cities and globally through collaborating International governance organisations.  The Hub, co-designed with local and international stakeholders from the start, will deliver this agenda through integrated research across four urban systems - Istanbul, Kathmandu, Nairobi and Quito - chosen for their multi-hazard exposure, and variety of urban form, development status and governance. Trusted core partnerships from previous Global Challenge Research Fund, Newton Fund and UK Research Council projects provide solid foundations on which city based research projects have been built around identified, existing, policy interventions to provide research solutions to specific current development problems. We have developed innovative, strategic research and impact funds and capable management processes constantly to monitor progress and to reinforce successful research directions and impact pathways. In each urban system, the Hub will reduce risk for 1-4 million people by (1) Co-producing forensic examinations of risk root causes, drivers of vulnerability and trend analysis of decision-making culture for key, historic multi-hazard events. (2) Combining quantitative, multi-hazard intensity, exposure and vulnerability analysis using advances in earth observation, citizen science, low cost sensors and high-resolution surveys with institutional and power analysis to allow multi-hazard risk assessment to interface with urban planning culture and engineering. (3) Convene diverse stakeholder groups-communities, schools, municipalities private enterprise, national agencies- around new understanding of multi-hazard urban disaster risk stimulating engagement and innovation in making risk-sensitive development choices to help meet the SDGs and Sendai Framework.  Impact will occur both within and beyond the life of the Hub and will raise the visibility of cities in global risk analysis and policy making. City Partnerships, integrating city authorities, researchers, community leaders and the private sector, will develop and own initiatives including high-resolution validated models of multi-hazard risk to reflect individual experience and inform urban development planning, tools and methods for monitoring, evaluation and audit of disaster risk, and recommendations for planning policy to mitigate risks in future development. City partnerships will collaborate with national and regional city networks, policy champions and UN agencies using research outputs to structure city and community plans responding to the Sendai Framework and targeted SDG indicators, and build methods and capacity for reporting and wider critique of the SDG and Sendai reporting process. Legacy will be enabled through the ownership of risk assessment and resilience building tools by city and international partners who will identify need, own, modify and deploy tools beyond the life of the Hub.",2019-2-13
