Name of the Project,Link to the project,Project Status,Project Description
Environmental Safeguard Expert,https://adb.org//node/864336,Status: Closed,"53238-001; Nepal; Public sector management;
Posting date:
08 Mar 2023"
Policy and Advisory Technical Assistance,https://adb.org//projects/54146-001/main#project-tenders,Status: Awarded,"54146-001; Nepal; Public sector management; Contract date:
07 Mar 2023"
Geo-Technical Engineer,https://adb.org//node/851376,Status: Closed,"55092-001; Nepal; Public sector management;
Posting date:
04 Mar 2023"
Procurement Specialist,https://adb.org//node/862441,Status: Closed,"54153-001; Nepal; Education;
Posting date:
25 Feb 2023"
BEAUTIFICATION WORKS ALONG BAGMATI RIVER FROM GOKARNA TO SINAMANGAL BRIDGE,https://adb.org//projects/43448-013/main#project-tenders,Status: Awarded,"43448-013; Nepal; Agriculture, natural resources and rural development; Contract date:
24 Feb 2023"
"DESIGN AND BUILDING OF DHAP DAM, ACCESS ROAD AND ENVIRONMENTAL PROTECTION WORKS",https://adb.org//projects/43448-013/main#project-tenders,Status: Awarded,"43448-013; Nepal; Agriculture, natural resources and rural development; Contract date:
24 Feb 2023"
Trade Facilitation Specialist,https://adb.org//node/861141,Status: Closed,"54402-002; Nepal; Industry and trade;
Posting date:
21 Feb 2023"
Customs Procedures Expert,https://adb.org//node/861106,Status: Closed,"54402-002; Nepal; Industry and trade;
Posting date:
21 Feb 2023"
Numerical Weather Prediction Modeling (NWPM) Expert,https://adb.org//node/858046,Status: Closed,"52195-001; Nepal; Agriculture, natural resources and rural development;
Posting date:
08 Feb 2023"
International Electricity Regulatory Specialist,https://adb.org//node/856926,Status: Closed,"50059-003; Nepal; Energy;
Posting date:
02 Feb 2023"
DoLI/RCIP/ind-21,https://adb.org//node/856776,Status: Closed,"48218-003; Nepal; Agriculture, natural resources and rural development;
Posting date:
01 Feb 2023"
DoLI/RCIP/Ind-22,https://adb.org//node/856761,Status: Closed,"48218-003; Nepal; Agriculture, natural resources and rural development;
Posting date:
01 Feb 2023"
DoLI/RCIP/IND-19/078/79,https://adb.org//node/856756,Status: Closed,"48218-003; Nepal; Agriculture, natural resources and rural development;
Posting date:
01 Feb 2023"
DoLI/RCIP/ind-20,https://adb.org//node/856751,Status: Closed,"48218-003; Nepal; Agriculture, natural resources and rural development;
Posting date:
01 Feb 2023"
DoLI/RCIP/IND-18/078/79,https://adb.org//node/856741,Status: Closed,"48218-003; Nepal; Agriculture, natural resources and rural development;
Posting date:
01 Feb 2023"
Logistics Policy Advisor,https://adb.org//node/856011,Status: Closed,"54402-002; Nepal; Industry and trade;
Posting date:
30 Jan 2023"
ICB/FD/EGMPAF/RMS-078/79-02: Supply and Installation of Revenue Management System,https://adb.org//projects/54107-001/main#project-tenders,Status: Awarded,"54107-001; Nepal; Energy; Contract date:
26 Jan 2023"
Water Supply and Commissioning Expert,https://adb.org//node/855646,Status: Closed,"34304-043; Nepal; Water and other urban infrastructure and services;
Posting date:
23 Jan 2023"
Public Health Specialist,https://adb.org//node/855641,Status: Closed,"55060-001; Nepal; Health;
Posting date:
23 Jan 2023"
Gender and Project Implementation Support Consultant,https://adb.org//node/855636,Status: Closed,"54153-001; Nepal; Education;
Posting date:
23 Jan 2023"
Financial Management Consultant,https://adb.org//node/855601,Status: Closed,"34304-043; Nepal; Water and other urban infrastructure and services;
Posting date:
23 Jan 2023"
Gender Specialist,https://adb.org//node/854671,Status: Closed,"53144-001; Nepal; Finance;
Posting date:
18 Jan 2023"
SOE Financial Management Specialist,https://adb.org//node/853151,Status: Closed,"55111-001; Regional, Armenia, Bangladesh, Indonesia, Maldives, Mongolia, Nepal, China, People's Republic of, Tajikistan; Public sector management;
Posting date:
13 Jan 2023"
Civil Society Brief Writer - Turkmenistan,https://adb.org//node/853146,Status: Closed,"55266-001; Regional, Fiji, Mongolia, Nepal, Philippines, Uzbekistan; Multisector;
Posting date:
13 Jan 2023"
Natural Capital Specialist,https://adb.org//node/850476,Status: Closed,"55113-001; Regional, Bangladesh, Cambodia, India, Kyrgyz Republic, Lao People's Democratic Republic, Maldives, Mongolia, Nauru, Nepal, Pakistan, China, People's Republic of, Sri Lanka, Vanuatu, Viet Nam; Agriculture, natural resources and rural development;
Posting date:
11 Jan 2023"
Events Logistics Management and Project Coordinator,https://adb.org//node/852711,Status: Closed,"54076-001; Regional, Cambodia, Nepal; Public sector management;
Posting date:
11 Jan 2023"
Corporate Credit and Analytics Specialists,https://adb.org//node/852701,Status: Closed,"55111-001; Regional, Armenia, Bangladesh, Indonesia, Maldives, Mongolia, Nepal, China, People's Republic of, Tajikistan; Public sector management;
Posting date:
11 Jan 2023"
SOE policy reform specialist,https://adb.org//node/852691,Status: Closed,"55111-001; Regional, Armenia, Bangladesh, Indonesia, Maldives, Mongolia, Nepal, China, People's Republic of, Tajikistan; Public sector management;
Posting date:
11 Jan 2023"
Institutional Development Specialist,https://adb.org//node/806181,Status: Closed,"42173-015; Regional, Bangladesh, Bhutan, Maldives, Nepal, Sri Lanka; Water and other urban infrastructure and services;
Posting date:
10 Jan 2023"
Structural Engineer,https://adb.org//node/851396,Status: Closed,"55092-001; Nepal; Public sector management;
Posting date:
04 Jan 2023"
Architect,https://adb.org//node/851391,Status: Closed,"55092-001; Nepal; Public sector management;
Posting date:
04 Jan 2023"
Cost/Quantity Surveyor/Engineer,https://adb.org//node/851341,Status: Closed,"55092-001; Nepal; Public sector management;
Posting date:
04 Jan 2023"
Sanitary Engineer,https://adb.org//node/851336,Status: Closed,"55092-001; Nepal; Public sector management;
Posting date:
04 Jan 2023"
Electrical Engineer,https://adb.org//node/851331,Status: Closed,"55092-001; Nepal; Public sector management;
Posting date:
04 Jan 2023"
"Dhangadhi Sub-Metropolitan City - Construction, Completion and Operation & Management of Integrated Solid Waste and Fecal Sludge Management Subproject",https://adb.org//projects/47252-002/main#project-tenders,Status: Awarded,"47252-002; Nepal; Water and other urban infrastructure and services; Contract date:
03 Jan 2023"
DoLI/RCIP/Ind-17/079-080,https://adb.org//node/838891,Status: Closed,"48218-003; Nepal; Agriculture, natural resources and rural development;
Posting date:
02 Jan 2023"
