"Name of the Project","Duration of the Project","Sector"
"International Emergency Food Assistance","","Disaster Prevention and Preparedness"
"Agricultural Inputs","","Agriculture"
"Evidence led actions","","Government and Civil Society"
"Tayar Nepal Improved DRM Activity","","General Environmental Protection"
"Technical Development Assistance for Upper Mugu Karnali Hydropower TA","","Energy"
"Democracratic Process Activity","","Government and Civil Society"
"Nepali Enterprise Competitiveness","","Agriculture"
"WASH Assistance","","Agriculture"
"USAID Agriculture Higher Education activity","","Post-Secondary Education"
"Promoting the Quality of Medicines Plus (PQM+)","","Maternal and Child Health, Family Planning"
"Technical Development Assistance for Namlan Khola Hydropower TA","","Energy"
"Nepal Health System Strengthening (HSS) Program","","Basic Health"
"WASH Assistance","","Maternal and Child Health, Family Planning"
"Global Health Funding","","Basic Health"
"Emergency Food Assistance","","Basic Health"
"Physical Rehabilitation Activity","","Other Social Infrastructure and Services"
"Health and Hygiene Activity","2016-02-22 - 2024-08-21","Water Supply and Sanitation"
"Administrative Costs (ICASS)","","Operating Expenses"
"Education Systems","","Education, Level Unspecified"
"DOD - International Military Eduation & Training (IMET) Program/Deliveries","","Conflict, Peace, and Security"
"Tayar Nepal Improved DRM Activity","","Business and Other Services"
"USAID Inclusive Livelihood","","Other Social Infrastructure and Services"
"Feed the Future Innovation Lab for Legume Systems Research","","Agriculture"
"Feed the Future Food Systems for Nutrition Innovation Lab","","Operating Expenses"
"MEL Support","","Operating Expenses"
"USAID Advisory and Assistance Services","","Basic Health"
"Humanitarian Assistance","","Basic Health"
"Nepal Health System Strengthening (HSS) Program","","Maternal and Child Health, Family Planning"
"WASHPaLS #2","","Maternal and Child Health, Family Planning"
"Technical Assistance - Global Procurement Initiative: Observer Country Procurement Assistance Program for Nepal, through The Webster Group","","Government and Civil Society"
"Tayar Nepal Improved DRM Activity","","Agriculture"
"Administration and Oversight","","Operating Expenses"
"Medicines, Technologies, and Pharmaceutical Services (MTaPS)","","Maternal and Child Health, Family Planning"
"Disaster Readiness","","Disaster Prevention and Preparedness"
"GH-TAMS - The Global Health Technical Assistance Mission Support","","Health, General"
"MOMENTUM 2A - Global Technical Leadership and Targeted Technical Assistance for MNCH/FP/RH","","Maternal and Child Health, Family Planning"
"Social Services","","Other Social Infrastructure and Services"
"MEL Support","","Maternal and Child Health, Family Planning"
"Evaluation","","Operating Expenses"
"U.S. Peace Corps Overseas Program Support","","Government and Civil Society"
"U.S. Peace Corps Overseas Program Support - Administrative","","Operating Expenses"
"Strengthen Policy Systems","","Operating Expenses"
"Tayar Nepal Improved DRM Activity","","Basic Education"
"USAID/Global Health Evaluation and Learning Support Project (GH EvaLS)","","Maternal and Child Health, Family Planning"
"Local Government and Decentralization","","Government and Civil Society"
"STRENGTHENING COMMUNITY TOLERANCE TOWARDS ASIAN ELEPHANTS IN WESTERN TERAI ARC LANDSCAPE OF NEPAL.","","General Environmental Protection"
"Tayar Nepal Improved DRM Activity","","Disaster Prevention and Preparedness"
"HIV/AIDS Program","","HIV/AIDS"
"Tayar Nepal Improved DRM Activity","","Government and Civil Society"
"PPL Program Cycle Award","","Other Multisector"
"U.S. Peace Corps Overseas Program Support","","Education, Level Unspecified"
"Program Design and Learning","","Maternal and Child Health, Family Planning"
"Humanitarian Assistance","","Program Design and Learning"
"RECOVERING TIGERS IN NEPAL: SECURING THE FUTURE OF EXPANDING POPULATIONS THROUGH ADAPTIVE MANAGEMENT PRACTICES","","General Environmental Protection"
"Strengthen Policy Systems","","Program Design and Learning"
"Institutional Contractor Support","","Operating Expenses"
"U.S. Peace Corps Volunteer Pre-Service Training","","Government and Civil Society"
"Small Project Assistance Program","","Basic Education"
"Basic Sanitation","","Water Supply and Sanitation"
"U.S. Peace Corps Volunteer Pre-Service Training - Administrative","","Operating Expenses"
"U.S. Peace Corps Volunteer Medical Support","","Government and Civil Society"
"A&A Specialists","","Operating Expenses"
"ENHANCING POPULATION MONITORING AND ECOSYSTEM HEALTH FOR GREATER ONE-HORNED RHINO CONSERVATION IN CHITWAN NATIONAL PARK, NEPAL","","General Environmental Protection"
"PPL Program Cycle Award","","Maternal and Child Health, Family Planning"
"Small Project Assistance Program","","Agriculture"
"USAID Pay and Benefits","","Government and Civil Society"
"U.S. Peace Corps Volunteer Pre-Service Training","","Education, Level Unspecified"
"Scientific Cooperation Research Program - Crop Residue","","Agriculture"
"Feed the Future Integrated Pest Management (FTF-IPM)","","Agriculture"
"USAID Miscellaneous Goods, Services, and Operations Maintanence","","Other Multisector"
"U.S. Peace Corps Direct Volunteer Support - Administrative","","Operating Expenses"
"U.S. Peace Corps Volunteer Medical Support","","Education, Level Unspecified"
"MEL Support","","Other Multisector"
"Household Level Water, Sanitation, Hygiene and Environment","","Basic Health"
"Administrative Costs (ICASS)","","Other Multisector"
"U.S. Peace Corps Volunteer Medical Support - Administrative","","Operating Expenses"
"USAID Travel and Transportation","","Disaster Prevention and Preparedness"
"USAID Travel and Transportation","","Emergency Response"
"U.S. Peace Corps Volunteer Safety and Security","","Government and Civil Society"
"USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.","","Other Multisector"
"Safe Water Access","","Water Supply and Sanitation"
"U.S. Peace Corps Volunteer Safety and Security","","Education, Level Unspecified"
"U.S. Peace Corps Volunteer Safety and Security - Administrative","","Operating Expenses"
"MEL Support","","Program Design and Learning"
"USAID Travel and Transportation","","HIV/AIDS"
"Maternal and Child Health","","Maternal and Child Health, Family Planning"
"Department of Energy, International Nuclear Safeguards Engagement Program","","Energy"
"Department of Energy, International Nuclear Safeguards Engagement Program","","Energy"
"Operations and Maintenance Support for USAID IT Services","","Operating Expenses"
"Global Health Technical Professionals (GHTP) program","","Health, General"
"U.S. Peace Corps Volunteer In-Service Training - Administrative","","Operating Expenses"
"U.S. Peace Corps Direct Volunteer Support","","Government and Civil Society"
"U.S. Peace Corps Direct Volunteer Support","","Education, Level Unspecified"
"Administrative Costs (ICASS)","","Maternal and Child Health, Family Planning"
"USAID Advisory and Assistance Services","","Maternal and Child Health, Family Planning"
"USAID Pay and Benefits","","Other Multisector"
"MEL Support","","Agriculture"
"MEL Support","","Government and Civil Society"
"ICASS Costs","","Operating Expenses"
"U.S. Peace Corps Volunteer In-Service Training","","Education, Level Unspecified"
"U.S. Peace Corps Volunteer In-Service Training","","Government and Civil Society"
"Sustaining Technical and Analytic Resources (STAR)","","HIV/AIDS"
"USAID Pay and Benefits","","Developmental Food Aid/Food Security Assistance"
"USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.","","Emergency Response"
"Small Project Assistance (SPA) Program with Peace Corps","2012-09-30 - 2019-09-30","Agriculture"
"USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.","","Developmental Food Aid/Food Security Assistance"
"USAID Pay and Benefits","","HIV/AIDS"
"USAID Travel and Transportation","","Developmental Food Aid/Food Security Assistance"
"Civil Society: Mutual Accountability Project (CS:MAP)","2016-04-04 - 2022-09-30","Government and Civil Society"
"USAIDs Nepal Hydropower Development Project","2015-07-09 - 2020-08-31","Energy"
"Promoting Agriculture, Health, and Alternative Livelihoods (PAHAL)","2014-10-17 - 2020-01-31","Agriculture"
"UNODA UNRCPD South Asia UNSCR 1540","","Government and Civil Society"
"Strategic Trade Control Enforcement","","Government and Civil Society"
"Linkages Across the Continuum of HIV Services for Key Populations Affected by HIV (LINKAGES) Project","2014-06-11 - 2021-12-30","HIV/AIDS"
"Sustaining Technical and Analytic Resources (STAR)","","Maternal and Child Health, Family Planning"
"Ministry of Health and Population Implementation Letter - Redbook Support","","Water Supply and Sanitation"
"Ministry of Health and Population Implementation Letter - Redbook Support","","Basic Health"
"Inter-Agency Agreement with Defense Logistics Agency","","Basic Health"
"Ministry of Health and Population Implementation Letter - Redbook Support","","Maternal and Child Health, Family Planning"
"DOD - Foreign Military Financing (FMF) Program, Payment Waived","","Conflict, Peace, and Security"
"KISAN II project","2017-07-12 - 2024-07-11","Agriculture"
"Nepal Seed And Fertilizer Project (NSAF)","2016-04-01 - 2024-12-31","Agriculture"
"Nepali Enterprise Competitiveness","","Business and Other Services"
"Fiscal Federalism Reforms","","Government and Civil Society"
"Peace Operations Nepal Hybrid Power Generation Equipment Project","","Conflict, Peace, and Security"
"Food Assistance","","Developmental Food Aid/Food Security Assistance"
"Elections and Political Parties (Niti Sambad)","2017-07-24 - 2023-02-28","Government and Civil Society"
"Kathmandu Valley Clean Air Program (KCAP)","","General Environmental Protection"
"THE CIVIL SOCIETY AND MEDIA IN ADVANCING PUBLIC INTEREST","","Basic Education"
"Consultative Group on International Agricultural Researc (CGIAR) Fund II follow-on grant to the World Bank","2017-10-01 - 2024-09-30","Agriculture"
"TMEC: Meeting Targets and Maintaining Epidemic Control (EpiC)","","Basic Health"
"Suaahara II (Integrated Nutrition Program II)","2016-04-01 - 2023-11-30","Basic Health"
"Administrative Costs (ICASS)","","Operating Expenses"
"THE CIVIL SOCIETY AND MEDIA IN ADVANCING PUBLIC INTEREST","","Government and Civil Society"
"Nepal Reconstruction Engineering Services (NRES)","2015-10-01 - 2023-09-30","Basic Education"
"USAID Pay and Benefits","","Maternal and Child Health, Family Planning"
"Nepal Law Enforcement Support","","Conflict, Peace, and Security"
"USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.","","Basic Health"
"Global Health Supply Chain - Procurement and Supply Management (GSHC-PSM) IDIQ - HIV/AIDS Task Order","2015-04-15 - 2024-11-28","HIV/AIDS"
"Breakthrough-ACTION","2017-07-21 - 2025-07-31","Government and Civil Society"
"Global Health Supply Chain - Procurement and Supply Management (GHSC-PSM) - Maternal and Child Health Task Order 4","2015-04-15 - 2024-11-28","Maternal and Child Health, Family Planning"
"Fiscal Federalism Reforms","","Maternal and Child Health, Family Planning"
"RFS Survey Data Support","","Operating Expenses"
"Physical Rehabilitation Activity","","Basic Health"
"REDUCING POACHING/IWT THREATS AND SUSTAINING THE GROWTH OF RHINOCEROS AND TIGER POPULATIONS IN CHITWAN-PARSA COMPLEX, NEPAL","","General Environmental Protection"
"Reading For All","","Government and Civil Society"
"STRENGTHENING HUMAN TIGER CO-EXISTENCE IN WESTERN TERAI LANDSCAPE IN NEPAL","","General Environmental Protection"
"Nepal Community Reconstruction Program (NCRP) IDIQ Task Order to Reconstruct or Rehabilitate Schools and Health Facitilities","","Basic Education"
"OCIO Cost Recovery","","Other Multisector"
"Health and Hygiene Activity","2016-02-22 - 2024-08-21","Maternal and Child Health, Family Planning"
"OCIO Cost Recovery","","HIV/AIDS"
"Fiscal Federalism Reforms","","Basic Health"
"DOS Advisory and Assistance Services","","Operating Expenses"
"Addressing Impacts of COVID on Efforts to Combat T","","Government and Civil Society"
"Nepal Health System Strengthening (HSS) Program","","Water Supply and Sanitation"
"Suaahara II (Integrated Nutrition Program II)","2016-04-01 - 2023-11-30","Maternal and Child Health, Family Planning"
"Demographic and Health Surveys (DHS-8)","","Basic Health"
"PREVENTING HABITAT FRAGMENTATION AND SECURING FUTURE OF THE TIGERS IN NEPAL THROUGH BETTER UNDERSTANDING OF TIGER BEHAVIOR AND RESPONSE TO ROADS","","General Environmental Protection"
"Suaahara II (Integrated Nutrition Program II)","2016-04-01 - 2023-11-30","Water Supply and Sanitation"
"GH-TAMS - The Global Health Technical Assistance Mission Support","","Maternal and Child Health, Family Planning"
"PROMOTING COEXISTENCE TO SECURE THE WELLBEING OF ASIAN ELEPHANTS AND COMMUNITIES IN LOWLAND NEPAL.","","General Environmental Protection"
"UPSCALING ELEPHANT CONSERVATION EFFORTS IN CENTRAL AND EASTERN NEPAL","","General Environmental Protection"
"Demographic and Health Surveys (DHS-8)","","Maternal and Child Health, Family Planning"
"Food and Agriculture Organization of the United Nations (FAO) Umbrella Grant","2006-09-29 - 2024-09-30","Basic Health"
"Global Peace Operations Initiative: Stimson Center Hybrid Generator Project","","Conflict, Peace, and Security"
"USAID Asia Learning and M&E Support Project","2014-09-23 - 2024-02-22","Other Multisector"
"RECOVERING TIGERS IN NEPAL: SECURING THE FUTURE OF EXPANDING POPULATIONS THROUGH ADAPTIVE MANAGEMENT PRACTICES","","General Environmental Protection"
"Demographic and Health Surveys (DHS-8)","","Water Supply and Sanitation"
"Contributions to Joint United Nations Programme on HIV/AIDS (UNAIDS III)","2012-09-27 - 2023-03-31","HIV/AIDS"
"Scientific Cooperation Research Program - Organic Agriculture","","Agriculture"
"OCIO Cost Recovery","","Maternal and Child Health, Family Planning"
"Department of Energy, International Nuclear Safeguards Engagement Program","","Energy"
"Department of Energy, International Nuclear Safeguards Engagement Program","","Energy"
"Nepal Community Reconstruction Program (NCRP) IDIQ Task Order to Reconstruct or Rehabilitate Schools and Health Facitilities","","Maternal and Child Health, Family Planning"
"One Acquisition Solution for Integrated Services (OASIS)","","Operating Expenses"
"OCIO Cost Recovery","","Other Multisector"
"Nepal Community Reconstruction Program (NCRP) IDIQ Task Order to Reconstruct or Rehabilitate Schools and Health Facitilities","","Business and Other Services"
"Nepal Community Reconstruction Project (NCRP): Task Order to reconstruct secondary schools in Kathmandu valley","","Basic Education"
"Department of Energy, International Nuclear Safeguards Engagement Program","","Energy"
"Administrative Costs (ICASS)","","Other Multisector"
"OCIO Cost Recovery","","Developmental Food Aid/Food Security Assistance"
"USAID Miscellaneous Goods, Services, and Operations Maintanence","","Developmental Food Aid/Food Security Assistance"
"USAID Communications, Utilities, and Rental Payments","","Developmental Food Aid/Food Security Assistance"
"USAID Communications, Utilities, and Rental Payments","","Maternal and Child Health, Family Planning"
"Water, Sanitation and Hygiene Recovery Activity (WRA)","2015-12-01 - 2020-11-30","Maternal and Child Health, Family Planning"
"Nepal Community Reconstruction Program (NCRP) IDIQ","","Maternal and Child Health, Family Planning"
"Nepal Community Reconstruction Project (NCRP) - IDIQ","","Maternal and Child Health, Family Planning"
"Crisis Assistance and Recovery","","Emergency Response"
"Water, Sanitation and Hygiene Recovery Activity (WRA)","2015-12-01 - 2020-11-30","Water Supply and Sanitation"
"Water, Sanitation and Hygiene Recovery Activity (WRA)","2015-12-01 - 2020-11-30","Basic Health"
"New United States Transportation Command (TRANSCOM) Inter-agency Agreement (IAA)","","Basic Health"
"Health for Life (Core Contract)","2012-12-17 - 2018-06-16","Maternal and Child Health, Family Planning"
"Feed the Future Innovation Lab for Collaborative Research on Nutrition in Africa","2010-10-04 - 2021-10-03","Agriculture"
"DOS Miscellaneous Goods, Services, and Operations Maintenance","","Operating Expenses"
"Family Planning and Reproductive Health","","Maternal and Child Health, Family Planning"
"Nutrition","","Basic Health"
"Nepal Community Reconstruction Program (NCRP) IDIQ Task Order to Reconstruct or Rehabilitate Schools and Health Facitilities in Makawanpur District","","Disaster Prevention and Preparedness"
"Program for Aquatic Natural Resources Improvement (PANI)","2013-12-17 - 2021-09-16","General Environmental Protection"
"Implementation Letter with the Government of Nepal","","Education, Level Unspecified"
"McGovern-Dole Program","","Basic Education"
"Education COVID Response Activity","","Basic Education"
"Global Health Supply Chain - Procurement and Supply Management (GSHC-PSM) IDIQ - HIV/AIDS Task Order","2015-04-15 - 2024-11-28","Basic Health"
"Support the GON in the scale-up of the National Early Grade Reading Program","","Basic Education"
"Nepal Resident Legal Advisor","","Government and Civil Society"
"Sajhedari-Support to Federalism","","Government and Civil Society"
"Reading For All","","Basic Education"
"Global Health Supply Chain - Procurement and Supply Management (GSHC-PSM) IDIQ - Family Planning/Reproductive Health (PRH) Task Order","2015-04-15 - 2024-11-28","Maternal and Child Health, Family Planning"
"Pandemic Influenza and Other Emerging Threats (PIOET)","","Basic Health"
"WHO: Polio & Immunizations (Health and Emergency Response Support)","1996-09-18 - 2023-09-30","Maternal and Child Health, Family Planning"
"World Health Organization Consolidated Grant","2009-09-11 - 2022-12-31","Basic Health"
"International Emergency Food Assistance","","Emergency Response"
"The FA.gov team redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.","","Government and Civil Society"
"Nepal Reconstruction Engineering Services (NRES)","2015-10-01 - 2023-09-30","Education, Level Unspecified"
"U.S. Peace Corps Overseas Program Support","","Other Social Infrastructure and Services"
"Feed the Future Market Systems and Partnerships activity (MSP)","","Agriculture"
"Provide Procurement Support Services To Washington, Dc Offices And Overseas Field Missions.","","Unallocated/ Unspecified"
"MCC Transmission Network Upgrade Activity","","Unallocated/ Unspecified"
"USAID Miscellaneous Goods, Services, and Operations Maintanence","","Administration and Oversight"
"U.S. Peace Corps Overseas Program Support","","Basic Education"
"Reading For All","","Government and Civil Society"
"Sakriya - Civil Society Action To End Exploitative Child Labor","","Other Social Infrastructure and Services"
"Inter-Agency with Department of State - Med","","Basic Health"
"Natural Hazards Mitigation Interagency Agreement","","Disaster Prevention and Preparedness"
"Nepal Community Reconstruction Project (NCRP): Task Order to reconstruct secondary schools in Kathmandu valley","","Education, Level Unspecified"
"URJA Nepal","","General Environmental Protection"
"Data and Evidence for Education Program (DEEP)","","Education, Level Unspecified"
"Border Management and Monitoring","","Emergency Response"
"Nepal Community Reconstruction Program (NCRP) IDIQ Task Order to Reconstruct or Rehabilitate Schools and Health Facitilities","","Education, Level Unspecified"
"Global Health Support Initiatives III (GHSI-III)","2016-12-10 - 2022-06-30","Maternal and Child Health, Family Planning"
"Food Security Service Center II","","Other Multisector"
"ENHANCING TIGER CONSERVATION IN SHUKLAPHANTA NATIONAL PARK","","General Environmental Protection"
"Suaahara II (Integrated Nutrition Program II)","2016-04-01 - 2023-11-30","Basic Education"
"U.S. Peace Corps Volunteer Medical Support","","Other Social Infrastructure and Services"
"USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.","2017-05-15 - 2022-05-14","Other Multisector"
"U.S. Peace Corps Volunteer Pre-Service Training","","Other Social Infrastructure and Services"
"U.S. Peace Corps Volunteer Medical Support","","Basic Education"
"USAID Miscellaneous Goods, Services, and Operations Maintanence","","Agriculture"
"COMBATING POACHING AND ILLEGAL WILDLIFE TRADE IN WESTERN NEPAL","","General Environmental Protection"
"USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.","2017-10-01 - 2023-12-31","Government and Civil Society"
"U.S. Peace Corps Volunteer Pre-Service Training","","Other Multisector"
"Environment, Science, Technology and Health (ESTH) Grant to BIOVAC Nepal","","Agriculture"
"U.S. Peace Corps Volunteer Safety and Security","","Other Social Infrastructure and Services"
"U.S. Peace Corps Direct Volunteer Support","","Other Social Infrastructure and Services"
"USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.","","Government and Civil Society"
"Nepal Community Reconstruction Program (NCRP) IDIQ Task Order to Reconstruct or Rehabilitate Schools and Health Facitilities in Makawanpur District","","Education, Level Unspecified"
"U.S. Peace Corps Volunteer Safety and Security","","Basic Education"
"U.S. Peace Corps Direct Volunteer Support","","Basic Education"
"Department of Energy, International Nuclear Safeguards Engagement Program","","Energy"
"U.S. Peace Corps Volunteer In-Service Training","","Other Social Infrastructure and Services"
"U.S. Peace Corps Volunteer In-Service Training","","Basic Education"
"USAID Communications, Utilities, and Rental Payments","","Administration and Oversight"
"Nepal Reconstruction Engineering Services (NRES)","2015-10-01 - 2023-09-30","Maternal and Child Health, Family Planning"
"USAID Pay and Benefits","","Administration and Oversight"
"Sustainable, Just and Productive Water Resources Development in Western Nepal","2016-04-01 - 2019-03-31","General Environmental Protection"
"Singha Durbar","2014-01-03 - 2018-10-01","Government and Civil Society"
"MCC Market Study Activity","","Operating Expenses"
"Peace and Reconciliation Processes","","Conflict, Peace, and Security"
"USAID Advisory and Assistance Services","","Administration and Oversight"
"USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.","","Disaster Prevention and Preparedness"
"USAID Pay and Benefits","","Agriculture"
"SCG Nepal IT Assessment","","Government and Civil Society"
"P-Advisory- Promoting Excellence in Private Sector Engagement (PEPSE)","2017-08-28 - 2024-01-19","Business and Other Services"
"Saath-Saath Project (SSP)","2011-09-30 - 2016-09-30","Maternal and Child Health, Family Planning"
"Nepal Community Reconstruction Program (NCRP) IDIQ Task Order to Reconstruct or Rehabilitate Schools and Health Facitilities in Makawanpur District","","Business and Other Services"
"Safe Wash II","2014-07-01 - 2019-06-30","Maternal and Child Health, Family Planning"
"USAID Travel and Transportation","","Agriculture"
"Strengthen Political Parties, Electoral and Legislative Processes program (SPPELP)","2010-08-03 - 2017-06-30","Government and Civil Society"
"CCP Mobile Port Control Unit in Birqui Nepal 2016","","Government and Civil Society"
"Capacity Building, Preparedness, and Planning","","Disaster Prevention and Preparedness"
"USAID/OFDA Contract for Monitoring and Evaluation","2015-03-30 - 2022-03-29","Program Design and Learning"
"Earthquake Disaster Relief Vulnerable Tibetan Refugees in Nepal","","Emergency Response"
"Sajhedari (Partnership for Local Development)","2012-12-01 - 2018-05-31","Government and Civil Society"
"Ministry of Health and Population Implementation Letter - Redbook Support","","Basic Health"
"Ministry of Health and Population Implementation Letter - Redbook Support","","Maternal and Child Health, Family Planning"
"MCC Feasibility Studies Environment Impact Assessment and Design","","Unallocated/ Unspecified"
"Earthquake Emergency Assistance Project (EAAP)","2016-12-14 - 2019-12-31","Education, Level Unspecified"
"USAIDs Early Grade Reading Program in Nepal (EGRP)","2015-03-02 - 2020-10-31","Basic Education"
"Tayar Nepal Improved DRM Activity","","Basic Health"
"International Narcotics Control and Law Enforcement: Unspecified Law Enforcement Activities","","Government and Civil Society"
"Nepal Reconstruction Engineering Services (NRES)","2015-10-01 - 2023-09-30","Business and Other Services"
"Voluntary Contributions to United Nations High Commissioner for Refugees (UNHCR) 2020 Global Appeal","","Emergency Response"
"""Together for Protection"" Project","","Government and Civil Society"
"Strengthening the Public Financial Management (PFM) Systems","2016-08-15 - 2021-08-13","Government and Civil Society"
"USAID/Nepal Monitoring Evaluation and Learning - MEL","2015-04-15 - 2020-11-14","Other Multisector"
"Hariyo Ban II (Green Forests II) Program","2016-07-15 - 2021-07-14","General Environmental Protection"
"Nepal Reconstruction Engineering Services (NRES)","2015-10-01 - 2023-09-30","Disaster Prevention and Preparedness"
"Primary Education","","Basic Education"
"Sajhedari-Support to Federalism","","Conflict, Peace, and Security"
"USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.","","Other Social Infrastructure and Services"
"PREDICT II","2014-10-01 - 2020-09-30","Basic Health"
"Nepal Community Reconstruction Project (NCRP): Task Order to reconstruct secondary schools in Kathmandu valley","","Disaster Prevention and Preparedness"
"Improve coordination between levels of government on disaster risk reduction.","","Disaster Prevention and Preparedness"
"ASIA Cost Recovery-funded IT - 2020","","Other Multisector"
"Feed the Future Innovation Lab for Collaborative Research on Nutrition in Africa","2010-10-04 - 2021-10-03","Basic Health"
"Conservation of the 8th-Century Lo Gekhar Monastery in Upper Mustang","","General Environmental Protection"
"Sustaining Health Outcomes through the Private Sector (SHOPS) Plus","2015-10-01 - 2022-12-31","Maternal and Child Health, Family Planning"
"Nepal Reconstruction Engineering Services (NRES)","2015-10-01 - 2023-09-30","Government and Civil Society"
"Reading and Access Evaluations","2013-09-30 - 2022-12-14","Basic Education"
"To conduct studies, trends analyses and training for early grade reading.","2014-07-11 - 2023-01-11","Basic Education"
"Global Health Supply Chain - Procurement and Supply Management (GHSC-PSM) - Maternal and Child Health Task Order 4","2015-04-15 - 2024-11-28","Health, General"
"Policy, Advocacy, and Communication Enhanced for Population and Reproductive Health (PACE)","2015-11-10 - 2022-09-30","Maternal and Child Health, Family Planning"
"Nepal Community Reconstruction Program (NCRP) IDIQ Task Order to Reconstruct or Rehabilitate Schools and Health Facitilities in Makawanpur District","","Basic Education"
"Provide Procurement Support Services To Washington, Dc Offices And Overseas Field Missions.","","Maternal and Child Health, Family Planning"
"GH-TAMS - The Global Health Technical Assistance Mission Support","","HIV/AIDS"
"Suaahara II (Integrated Nutrition Program II)","2016-04-01 - 2023-11-30","Health, General"
"U.S. Peace Corps Volunteer Pre-Service Training","","Basic Education"
"Administrative, Technical, and Support Staff Services to the Bureaus of Asia and Legislative and Public Affairs","2015-05-22 - 2020-11-21","Other Multisector"
"U.S. Department of Defense, Institutional Capacity Building Programs: Institute for Security Governance - Nepal - Land Forces Talks","","Conflict, Peace, and Security"
"M&E Capacity Building (MECap)","2014-10-01 - 2020-07-15","Emergency Response"
"Global Health Supply Chain - Procurement and Supply Management (GHSC-PSM) - Maternal and Child Health Task Order 4","2015-04-15 - 2024-11-28","Basic Health"
"Counter Terrorism and Irregular Warfare Fellowship Program (CTIWFP)","","Conflict, Peace, and Security"
