Name of the Project,Link to the project,Procurement Details,Link to the Procurement,Date of Publishment
Accelerating Transport and Trade Connectivity in Eastern South Asia – Nepal Phase 1 Project - P177902,http://projects.worldbank.org/en/projects-operations/project-detail/P177902,Refurbishing (Maintenance) Works at PCU,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00281481,"March 27, 2024"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,"Procurement of Lifter Machinery for Livestock Expert Centre and Livestock Service Section-DLSU, Biratnagar",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00268115,"March 26, 2024"
Forests for Prosperity Project - P170798,http://projects.worldbank.org/en/projects-operations/project-detail/P170798,Procurement of Monitoring and Evaluation Specialist,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00279681,"March 25, 2024"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,"Upgrading of Mahendra Highway, Kamala-Dhalkebar- Bagmati Road Section (Km 238+030 to km 312+785)",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00280950,"March 24, 2024"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,"Improvement (Lab set-up including partition) of Veterinary Standard and Drugs Regulatory Laboratory, Kathmandu",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00280801,"March 22, 2024"
Upper Arun Hydroelectric Project - P178722,http://projects.worldbank.org/en/projects-operations/project-detail/P178722,Impact Assessment of UAHEP on Protected Areas and Terrestrial Biodiversity (Selection of Red Panda Network Nepal (RPN Nepal)),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00280378,"March 20, 2024"
Food and Nutrition Security Enhancement Project - P164319,http://projects.worldbank.org/en/projects-operations/project-detail/P164319,Hiring of individual Procurement Specialist for short term (intermittent basis),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00279643,"March 17, 2024"
Food and Nutrition Security Enhancement Project - P164319,http://projects.worldbank.org/en/projects-operations/project-detail/P164319,Hiring of  Financial Management Specialist for short term ( intermittent basis),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00279662,"March 17, 2024"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,"Construction of Prefab Structure with Roof Truss at Forage Genetic Resource Centre, Ranjitpur, Sarlahi",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00279108,"March 14, 2024"
Forests for Prosperity Project - P170798,http://projects.worldbank.org/en/projects-operations/project-detail/P170798,Procurement of Environmental Safeguard Specialist,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00279127,"March 14, 2024"
Forests for Prosperity Project - P170798,http://projects.worldbank.org/en/projects-operations/project-detail/P170798,Procurement of Social Safeguard and GESI Specialist,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00279137,"March 14, 2024"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,Procurement of 1 million Dose LSD and 3 Million dose FMD Vaccine Slice 2,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00278559,"March 12, 2024"
NP Modernization of Rani Jamara Kulariya Irrigation Scheme - Phase 2 - P158364,http://projects.worldbank.org/en/projects-operations/project-detail/P158364,Command Area Development Works of Tertiary Canals and Water Courses (CAD-2) in Rani Irrigation System (Package 2),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00278190,"March 9, 2024"
Forests for Prosperity Project - P170798,http://projects.worldbank.org/en/projects-operations/project-detail/P170798,"Preparation of documentary for development, utilization of timber based technology to the industrialists, planners etc.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00277618,"March 6, 2024"
Provincial and Local Roads Improvement Program - Phase 1 - P171836,http://projects.worldbank.org/en/projects-operations/project-detail/P171836,Hiring of Environmental Expert (EE); Contract ID:PLRIP/CPCU/CS/INDV/02/080-81,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00277656,"March 6, 2024"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Construction of Municipal Agricultural and Livestock Service Centers (MALSC) under ECO Butwal Phase II,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00277836,"March 6, 2024"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Construction of Municipal Agricultural and Livestock Service Centres (MALSC) under ECO Dhankuta Phase II,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00277843,"March 6, 2024"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,Supervise and monitor construction of BSL2+ laboratory- Apex Techno Concern & Consultancy Pvt. Ltd.-8 months,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00277329,"March 5, 2024"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,"Construction of Slice 1: Prefab Structure with Roof Truss at Forage Genetic Resource Centre, Ranjitpur, Sarlahi, and Slice 2: Canal and Culvert at Forage Genetic Resource Centre, Ranjitpur, Sarlahi",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00277356,"March 5, 2024"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of ECMO (Extra Corporeal Membrane Oxygenation ) Machine,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00277449,"March 5, 2024"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,"Construction of BSL2+ Laboratory at Budhanikantha, Kathmandu",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00277016,"March 4, 2024"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,selection of procurement consultant Mr. Bhuwan Acharya for 70 person days,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00277067,"March 4, 2024"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,Procurement of consultant services for Procurement Specialist (Er. Satish Chandra Jha),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00277083,"March 4, 2024"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,selection of Dr. Prabhakar Pathak- Project Technical Expert (Lead) for 7.7 person months,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00277117,"March 4, 2024"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,selection of Mr. Yograj Pokhrel - Financial Management specialist  for 96 person days,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00277131,"March 4, 2024"
Food and Nutrition Security Enhancement Project - P164319,http://projects.worldbank.org/en/projects-operations/project-detail/P164319,Procurement of improved maize seed.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00277333,"March 4, 2024"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of Portable USG Machine,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00276994,"March 3, 2024"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,Procurement of Individual Consultant - Financial Management Consultant (FMC),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00276399,"February 29, 2024"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,Procurement of Individual Consultant - Technical Advisor (Road Safety),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00276415,"February 29, 2024"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of 5-Year Implant,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00276526,"February 29, 2024"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,"Procurement of Family Planning Kits (NSV Kits, Minilap Kits and other",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00276527,"February 29, 2024"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of Medicine,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00276529,"February 29, 2024"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of Anti Rabies Vaccine and Rabies Immunoglobulin,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00276534,"February 29, 2024"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of Haematology Analyzer,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00276539,"February 29, 2024"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of  Lab Reagent and HPV DNA PCR Kits,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00276541,"February 29, 2024"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,"Procurement of  Oral Contraceptive Pills, Injection DMPA and Condom",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00276542,"February 29, 2024"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of Biochemistry Analyzer,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00276553,"February 29, 2024"
Food and Nutrition Security Enhancement Project - P164319,http://projects.worldbank.org/en/projects-operations/project-detail/P164319,Reconstruction and Maintenance of office rooms & Program hall,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00276016,"February 28, 2024"
Food and Nutrition Security Enhancement Project - P164319,http://projects.worldbank.org/en/projects-operations/project-detail/P164319,Procurement of Seasonable Summer Vegetables Seed (PCU Gorkha),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00276109,"February 28, 2024"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,"Procurement of Height Scale, Weight Scale and MUAC Tapes",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00276110,"February 28, 2024"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of Dental Chair and Dental Set,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00276124,"February 28, 2024"
Provincial and Local Roads Improvement Program - Phase 1 - P171836,http://projects.worldbank.org/en/projects-operations/project-detail/P171836,Hiring of Program & Quality Managment Expert (PQME) at CPCU; Contract ID:PLRIP/CPCU/CS/INDV/01/080-81,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00276128,"February 28, 2024"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of Anesthesia Machine and Defebrilator,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00276143,"February 28, 2024"
Provincial and Local Roads Improvement Program - Phase 1 - P171836,http://projects.worldbank.org/en/projects-operations/project-detail/P171836,Hiring of Social Development Expert (SDE); Contract ID: PLRIP/CPCU/CS/INDV/03/080-81,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00276153,"February 28, 2024"
Food and Nutrition Security Enhancement Project - P164319,http://projects.worldbank.org/en/projects-operations/project-detail/P164319,Procurement of Improved Maize Seed (PCU Gorkha).,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00275849,"February 27, 2024"
Food and Nutrition Security Enhancement Project - P164319,http://projects.worldbank.org/en/projects-operations/project-detail/P164319,Procurement of fruit sapling for distribution by PCU Gorkha.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00275613,"February 26, 2024"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of Portable USG Machine,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00276994,"March 3, 2024"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,Procurement of Individual Consultant - Financial Management Consultant (FMC),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00276399,"February 29, 2024"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,Procurement of Individual Consultant - Technical Advisor (Road Safety),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00276415,"February 29, 2024"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of 5-Year Implant,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00276526,"February 29, 2024"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,"Procurement of Family Planning Kits (NSV Kits, Minilap Kits and other",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00276527,"February 29, 2024"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of Medicine,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00276529,"February 29, 2024"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of Anti Rabies Vaccine and Rabies Immunoglobulin,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00276534,"February 29, 2024"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of Haematology Analyzer,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00276539,"February 29, 2024"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of  Lab Reagent and HPV DNA PCR Kits,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00276541,"February 29, 2024"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,"Procurement of  Oral Contraceptive Pills, Injection DMPA and Condom",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00276542,"February 29, 2024"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of Biochemistry Analyzer,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00276553,"February 29, 2024"
Food and Nutrition Security Enhancement Project - P164319,http://projects.worldbank.org/en/projects-operations/project-detail/P164319,Reconstruction and Maintenance of office rooms & Program hall,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00276016,"February 28, 2024"
Food and Nutrition Security Enhancement Project - P164319,http://projects.worldbank.org/en/projects-operations/project-detail/P164319,Procurement of Seasonable Summer Vegetables Seed (PCU Gorkha),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00276109,"February 28, 2024"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,"Procurement of Height Scale, Weight Scale and MUAC Tapes",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00276110,"February 28, 2024"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of Dental Chair and Dental Set,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00276124,"February 28, 2024"
Provincial and Local Roads Improvement Program - Phase 1 - P171836,http://projects.worldbank.org/en/projects-operations/project-detail/P171836,Hiring of Program & Quality Managment Expert (PQME) at CPCU; Contract ID:PLRIP/CPCU/CS/INDV/01/080-81,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00276128,"February 28, 2024"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of Anesthesia Machine and Defebrilator,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00276143,"February 28, 2024"
Provincial and Local Roads Improvement Program - Phase 1 - P171836,http://projects.worldbank.org/en/projects-operations/project-detail/P171836,Hiring of Social Development Expert (SDE); Contract ID: PLRIP/CPCU/CS/INDV/03/080-81,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00276153,"February 28, 2024"
Food and Nutrition Security Enhancement Project - P164319,http://projects.worldbank.org/en/projects-operations/project-detail/P164319,Procurement of Improved Maize Seed (PCU Gorkha).,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00275849,"February 27, 2024"
Food and Nutrition Security Enhancement Project - P164319,http://projects.worldbank.org/en/projects-operations/project-detail/P164319,Procurement of fruit sapling for distribution by PCU Gorkha.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00275613,"February 26, 2024"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Four Wheeler- No. 2 for ECO Bardibas,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00271701,"February 5, 2024"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Four Wheeler- No. 2 for ECO Bardibas,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00271703,"February 5, 2024"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Selection of Service Poviders for Baseline data collection for the Rural Enterprise and Economic Development (REED) Project,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00271705,"February 5, 2024"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,"Consulting services for preparation of DPR for Municipal Agriculture and Livestock Service Centers (MALSC) under ECO, Dhankuta",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00271727,"February 5, 2024"
Forests for Prosperity Project - P170798,http://projects.worldbank.org/en/projects-operations/project-detail/P170798,"Maintenance of physical structures of the office, water tank etc.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00271583,"February 4, 2024"
Nepal Strategic Road Connectivity and Trade Improvement Project - P170409,http://projects.worldbank.org/en/projects-operations/project-detail/P170409,"Periodic Maintenance Works along Ratna Rajmarg (Harre �€“ Chhinchu Section) (Ch.74+000 to 80+400) and Surkhet Jumla Road (Ch.112+990 to 140+100 and Ch.165+900 to 174+990 of NH58-012), Surkhet and Dailekh.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00271501,"February 3, 2024"
NP Modernization of Rani Jamara Kulariya Irrigation Scheme - Phase 2 - P158364,http://projects.worldbank.org/en/projects-operations/project-detail/P158364,Command Area Development Works of Tertiary Canals and Water Courses (CAD-2) in Kulariya Irrigation System,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00271063,"February 1, 2024"
Provincial and Local Roads Improvement Program - Phase 1 - P171836,http://projects.worldbank.org/en/projects-operations/project-detail/P171836,Hiring of Project Management and Quality Control (PMQC) Specialist,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00270870,"January 31, 2024"
Provincial and Local Roads Improvement Program - Phase 1 - P171836,http://projects.worldbank.org/en/projects-operations/project-detail/P171836,Hiring of Social Safeguards Specialist (SSS),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00270897,"January 31, 2024"
Provincial and Local Roads Improvement Program - Phase 1 - P171836,http://projects.worldbank.org/en/projects-operations/project-detail/P171836,Hiring of Environmental Safeguards Specialist (ESS),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00270901,"January 31, 2024"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of Stationary X-Ray-500mA with detector,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00269335,"January 21, 2024"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,Procurement of Electrolyte Analyzer and POCT Analyzer,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00269354,"January 21, 2024"
Food and Nutrition Security Enhancement Project - P164319,http://projects.worldbank.org/en/projects-operations/project-detail/P164319,Procurement of potato seeds,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00269331,"January 20, 2024"
NP Modernization of Rani Jamara Kulariya Irrigation Scheme - Phase 2 - P158364,http://projects.worldbank.org/en/projects-operations/project-detail/P158364,Command Area Development Works of Tertiary Canals and Water Courses (CAD-2) in Jamara Irrigation System,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00269071,"January 19, 2024"
NP Modernization of Rani Jamara Kulariya Irrigation Scheme - Phase 2 - P158364,http://projects.worldbank.org/en/projects-operations/project-detail/P158364,Hiring of three 4WD Vehicles for Supervision Consultant,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00269272,"January 19, 2024"
Food and Nutrition Security Enhancement Project - P164319,http://projects.worldbank.org/en/projects-operations/project-detail/P164319,"Preparation and broadcasting of documentary on project implementation, progress and success stories.",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00268655,"January 17, 2024"
Nepal: COVID-19 Emergency Response and Health Systems Preparedness Project - P173760,http://projects.worldbank.org/en/projects-operations/project-detail/P173760,"Procurement of Lab Equipment:
Semi Automated Biochemistry Analyzer
Fully Automated Hematology Analyzer",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00268136,"January 15, 2024"
Youth Employment Transformation Initiative Project - P160696,http://projects.worldbank.org/en/projects-operations/project-detail/P160696,Beneficiary Satisfaction Survey of YETI Project,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00268121,"January 13, 2024"
Food and Nutrition Security Enhancement Project - P164319,http://projects.worldbank.org/en/projects-operations/project-detail/P164319,Procurement of Potato Seed,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00267558,"January 11, 2024"
Rural Enterprise and Economic Development Project - P170215,http://projects.worldbank.org/en/projects-operations/project-detail/P170215,Construction of Municipal Agricultural and Livestock Service Centres (MALSC) under ECO Bardibas (Phase II),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00267234,"January 9, 2024"
Nepal Livestock Sector Innovation Project - P156797,http://projects.worldbank.org/en/projects-operations/project-detail/P156797,"Procurement of Threshing, Grading and Packaging Machine for Seed Storage and Processing Centre-DLSU, Biratnagar",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00266898,"January 8, 2024"
